,Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,full_address,gcode,lat,long
794371,49688,9,1,9003,SHERWOOD ISLAND STATE PARK,Connecticut,Fairfield,Westport,2008-09-30,Parts per billion,5.916667,10.0,1,9,Parts per million,0.016474,0.028,18,24,Parts per billion,0.154167,0.9,7,0.0,Parts per million,0.120833,0.2,10,2.0,"SHERWOOD ISLAND STATE PARK, Westport, Connecticut","Sherwood Island State Park, Westport, Fairfield County, Connecticut, United States",41.115069950000006,-73.32977910010379
851259,106576,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2008-07-19,Parts per billion,8.75,22.0,6,21,Parts per million,0.033875,0.045,11,38,Parts per billion,0.826087,2.0,8,3.0,Parts per million,0.270833,0.3,0,3.0,"1415 Hinton Street, Dallas, Texas","Hinton Street, Grand Prairie, Dallas County, Texas, 75050, United States",32.7503043,-97.0093137
1056720,88313,42,133,8,HILL ST.,Pennsylvania,York,York,2010-04-15,Parts per billion,19.25,34.0,1,32,Parts per million,0.033458,0.058,13,49,Parts per billion,5.3125,11.0,8,,Parts per million,0.225,0.5,5,,"HILL ST., York, Pennsylvania","Hill Street, Elmwood, Spring Garden Township, York County, Pennsylvania, 17403, United States",39.9657158,-76.6998139
496314,53093,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,2005-02-23,Parts per billion,23.25,32.0,17,30,Parts per million,0.018167,0.027,21,23,Parts per billion,2.55,5.6,2,,Parts per million,0.425,0.6,0,7.0,"HARRISON AVE, Boston, Massachusetts","Harrison Avenue, Chinatown, Downtown Boston, Boston, Suffolk County, Massachusetts, 02111, United States",42.3522115,-71.0613169
825270,80587,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2008-07-18,Parts per billion,6.75,28.0,7,26,Parts per million,0.034375,0.05,8,42,Parts per billion,0.533333,1.8,8,1.0,Parts per million,0.370833,0.5,6,,"1130 EASTWAY DRIVE, Charlotte, North Carolina","1130, Eastway Drive, Citiside, Plaza Shamrock, Charlotte, Mecklenburg County, North Carolina, 28205, United States",35.24085644277964,-80.77892344999584
177194,85548,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2001-12-03,Parts per billion,18.75,27.0,6,25,Parts per million,0.011375,0.017,10,14,Parts per billion,0.0375,0.3,11,,Parts per million,0.170833,0.3,15,3.0,"1415 Hinton Street, Dallas, Texas","Hinton Street, Grand Prairie, Dallas County, Texas, 75050, United States",32.7503043,-97.0093137
1173519,101137,42,3,8,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,2011-04-23,Parts per billion,6.254167,13.9,3,12,Parts per million,0.03725,0.046,12,39,Parts per billion,1.952174,5.0,21,7.0,Parts per million,0.225,0.3,0,3.0,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville), Pittsburgh, Pennsylvania","301, 39th Street, Lower Lawrenceville, Pittsburgh, Allegheny County, Pennsylvania, 15201, United States",40.464736,-79.959888
635935,6630,6,1,2004,1340 Sixth Street,California,Alameda,Berkeley,2007-12-22,Parts per billion,24.304348,35.0,20,33,Parts per million,0.005917,0.015,11,13,Parts per billion,3.347826,14.0,17,20.0,Parts per million,0.6,1.4,0,,"1340 Sixth Street, Berkeley, California","1340, Sixth Street, Ocean View, Berkeley, Alameda County, California, 94710, United States",37.87776935,-122.30134675163197
1374109,44273,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2013-01-06,Parts per billion,14.334783,32.0,21,30,Parts per million,0.012333,0.022,0,20,Parts per billion,0.813636,1.7,20,1.0,Parts per million,0.545833,1.5,23,17.0,"304 TUOLUMNE ST., Vallejo, California","304, Tuolumne Street, Vallejo, Solano County, California, 94590, United States",38.10239547097025,-122.23813370140722
664911,35606,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2007-03-20,Parts per billion,3.666667,7.0,7,7,Parts per million,0.026667,0.039,20,33,Parts per billion,0.041667,1.0,1,1.0,Parts per million,0.170833,0.2,7,2.0,"128 S 'H' ST, LOMPOC, Lompoc, California","128, South H Street, Lompoc, Santa Barbara County, California, 93436, United States",34.638234567567565,-120.45776940540541
